r,n3,n4,n5,n6,n7,n8,n9,n10
1.00E-10,0.632456135,0.60302263,0.589768244,0.583460334,0.580381855,0.578859517,0.578103837,0.577726926
0.01010101,0.632458759,0.603025952,0.589771095,0.583463238,0.580384273,0.578862957,0.578106772,0.577729788
0.02020202,0.63246844,0.603035742,0.589780908,0.583473056,0.580394092,0.578872777,0.578116591,0.577739608
0.03030303,0.632484581,0.603052065,0.589797268,0.583489425,0.580410463,0.578889148,0.578132963,0.57775598
0.04040404,0.63250719,0.603074928,0.589820184,0.583512353,0.580433394,0.578912079,0.578155894,0.577778911
0.050505051,0.632536277,0.603104341,0.589849666,0.58354185,0.580462895,0.578941582,0.578185397,0.577808414
0.060606061,0.632571857,0.603140321,0.589885728,0.583577932,0.580498981,0.578977669,0.578221484,0.577844501
0.070707071,0.632613948,0.603182884,0.589928389,0.583620615,0.58054167,0.579020359,0.578264174,0.577887191
0.080808081,0.632662571,0.603232051,0.58997767,0.583669921,0.580590981,0.579069672,0.578313488,0.577936505
0.090909091,0.632717749,0.603287847,0.590033593,0.583725874,0.580646941,0.579125633,0.578369449,0.577992466
0.101010101,0.63277951,0.603350298,0.590096187,0.5837885,0.580709575,0.579188269,0.578432085,0.578055103
0.111111111,0.632847886,0.603419437,0.590165483,0.583857832,0.580778915,0.57925761,0.578501427,0.578124445
0.121212121,0.63292291,0.603495297,0.590241516,0.583933903,0.580854994,0.579333692,0.578577509,0.578200527
0.131313131,0.63300462,0.603577916,0.590324322,0.58401675,0.580937852,0.579416551,0.578660369,0.578283387
0.141414141,0.633093059,0.603667336,0.590413943,0.584106417,0.581027528,0.57950623,0.578750048,0.578373066
0.151515152,0.63318827,0.603763601,0.590510425,0.584202946,0.581124068,0.579602772,0.578846591,0.578469608
0.161616162,0.633290303,0.603866762,0.590613816,0.584306388,0.581227521,0.579706227,0.578950046,0.578573064
0.171717172,0.633399211,0.60397687,0.590724168,0.584416794,0.581337939,0.579816647,0.579060466,0.578683484
0.181818182,0.633515049,0.604093982,0.590841539,0.584534221,0.581455378,0.579934088,0.579177908,0.578800925
0.191919192,0.633637879,0.604218159,0.590965988,0.584658729,0.581579898,0.580058611,0.579302431,0.578925448
0.202020202,0.633767765,0.604349465,0.591097581,0.584790383,0.581711565,0.58019028,0.5794341,0.579057117
0.212121212,0.633904776,0.604487969,0.591236385,0.584929252,0.581850446,0.580329163,0.579572983,0.579195999
0.222222222,0.634048985,0.604633745,0.591382475,0.585075407,0.581996615,0.580475334,0.579719153,0.57934217
0.232323232,0.634200471,0.60478687,0.591535927,0.585228928,0.582150149,0.58062887,0.579872689,0.579495704
0.242424242,0.634359315,0.604947428,0.591696825,0.585389896,0.58231113,0.580789852,0.580033671,0.579656686
0.252525253,0.634525605,0.605115504,0.591865254,0.585558398,0.582479645,0.580958369,0.580202186,0.579825201
0.262626263,0.634699433,0.605291192,0.592041308,0.585734526,0.582655786,0.58113451,0.580378327,0.580001341
0.272727273,0.634880897,0.605474589,0.592225084,0.585918377,0.58283965,0.581318375,0.58056219,0.580185203
0.282828283,0.635070099,0.605665798,0.592416683,0.586110053,0.583031339,0.581510063,0.580753878,0.580376889
0.292929293,0.635267148,0.605864928,0.592616215,0.586309663,0.583230961,0.581709685,0.580953497,0.580576508
0.303030303,0.635472159,0.606072092,0.592823793,0.58651732,0.583438629,0.581917353,0.581161163,0.580784172
